iter	Passed	Remaining
0	0	39
1	0	56
2	0	61
3	0	63
4	0	64
5	0	64
6	0	65
7	1	65
8	1	65
9	1	65
10	1	65
11	1	65
12	1	65
13	1	65
14	2	65
15	2	65
16	2	65
17	2	65
18	2	65
19	2	65
20	2	67
21	3	71
22	3	74
23	3	76
24	4	77
25	4	79
26	4	81
27	4	80
28	5	81
29	5	82
30	5	83
31	5	84
32	6	85
33	6	84
34	6	85
35	6	86
36	6	87
37	7	87
38	7	88
39	7	89
40	8	89
41	8	90
42	8	90
43	8	91
44	9	91
45	9	92
46	9	92
47	9	92
48	10	93
49	10	93
50	10	94
51	10	94
52	11	95
53	11	95
54	11	96
55	12	96
56	12	95
57	12	94
58	12	94
59	12	93
60	12	92
61	13	91
62	13	91
63	13	90
64	13	89
65	13	89
66	13	88
67	13	87
68	13	87
69	14	86
70	14	86
71	14	85
72	14	84
73	14	84
74	14	83
75	14	83
76	15	82
77	15	82
78	15	81
79	15	81
80	15	80
81	15	80
82	15	79
83	16	79
84	16	78
85	16	78
86	16	77
87	16	77
88	16	77
89	17	78
90	17	78
91	17	78
92	17	78
93	18	78
94	18	77
95	18	77
96	18	78
97	19	78
98	19	78
99	19	78
100	19	77
101	19	77
102	20	78
103	20	78
104	20	77
105	21	78
106	21	78
107	21	78
108	21	78
109	22	78
110	22	78
111	22	78
112	22	78
113	23	78
114	23	78
115	23	78
116	24	78
117	24	78
118	24	78
119	24	79
120	25	79
121	25	79
122	25	79
123	26	79
124	26	78
125	26	78
126	26	78
127	26	78
128	27	78
129	27	78
130	27	78
131	28	78
132	28	78
133	28	78
134	28	78
135	29	77
136	29	77
137	29	77
138	29	76
139	29	76
140	29	76
141	30	75
142	30	75
143	30	74
144	30	74
145	30	74
146	30	73
147	30	73
148	31	73
149	31	72
150	31	72
151	31	73
152	32	74
153	32	73
154	33	73
155	33	73
156	33	73
157	33	73
158	34	73
159	34	73
160	34	73
161	34	72
162	34	72
163	35	71
164	35	71
165	35	70
166	35	70
167	35	70
168	35	69
169	35	69
170	36	69
171	36	68
172	36	68
173	36	68
174	36	67
175	36	67
176	36	67
177	36	66
178	37	66
179	37	66
180	37	65
181	37	65
182	37	65
183	37	64
184	37	64
185	38	64
186	38	63
187	38	63
188	38	63
189	38	62
190	38	62
191	38	62
192	38	61
193	39	61
194	39	61
195	39	61
196	39	60
197	39	60
198	39	60
199	40	60
200	40	59
201	40	59
202	40	59
203	40	58
204	40	58
205	41	58
206	41	58
207	41	58
208	41	57
209	41	57
210	41	57
211	41	56
212	42	56
213	42	56
214	42	56
215	42	56
216	42	55
217	43	55
218	43	55
219	43	55
220	43	54
221	43	54
222	43	54
223	43	54
224	44	53
225	44	53
226	44	53
227	44	53
228	44	52
229	44	52
230	44	52
231	45	52
232	45	52
233	45	51
234	45	51
235	45	51
236	46	51
237	46	50
238	46	50
239	46	50
240	46	50
241	46	49
242	47	49
243	47	49
244	47	49
245	47	49
246	47	49
247	48	48
