iter	RMSE
0	0.3770719941
1	0.3747475862
2	0.3723568278
3	0.3701978709
4	0.3680017768
5	0.3660350798
6	0.3638800392
7	0.3617998839
8	0.3596363825
9	0.3578452146
10	0.3557955317
11	0.3537806947
12	0.3517524386
13	0.3498242108
14	0.3478578248
15	0.3458840927
16	0.3439340782
17	0.3421321407
18	0.3401699644
19	0.3382115787
20	0.3366272081
21	0.3348273085
22	0.3331527339
23	0.3314103941
24	0.3297434232
25	0.3281125456
26	0.3263908993
27	0.3247164327
28	0.3230065131
29	0.3212709927
30	0.3195059885
31	0.3181237635
32	0.316490951
33	0.3148185602
34	0.3131833903
35	0.3116651002
36	0.3101305718
37	0.3085251045
38	0.3069341248
39	0.3053576177
40	0.3038503957
41	0.3023954941
42	0.3010212824
43	0.2994454279
44	0.2979932074
45	0.296400813
46	0.295113097
47	0.2937232614
48	0.2922613303
49	0.2908263278
50	0.2894592352
51	0.2880526205
52	0.2867176676
53	0.2853724935
54	0.2839330849
55	0.282552195
56	0.2811840801
57	0.2797906847
58	0.2784924987
59	0.2772568422
60	0.2759537825
61	0.2748058152
62	0.2738184257
63	0.2727946828
64	0.2716722084
65	0.2704856052
66	0.2692844373
67	0.2680887419
68	0.2670126889
69	0.265818457
70	0.2644983089
71	0.2632906827
72	0.2620637283
73	0.2609318441
74	0.2597118433
75	0.2586864006
76	0.2576194358
77	0.2565528724
78	0.2554458589
79	0.2544491417
80	0.2534335539
81	0.2523169392
82	0.2513513113
83	0.2504139622
84	0.2493767936
85	0.2483149608
86	0.2473326767
87	0.2463306966
88	0.2455374733
89	0.244582021
90	0.2438680722
91	0.2430456381
92	0.2420849615
93	0.2412391944
94	0.2402799411
95	0.2392128817
96	0.2382526453
97	0.2372136738
98	0.2364915478
99	0.2355977622
100	0.2347068986
101	0.2337960799
102	0.2328345076
103	0.2321215515
104	0.2312050274
105	0.2303185342
106	0.2294003293
107	0.2284771596
108	0.2274948263
109	0.2267689441
110	0.225898368
111	0.2250092818
112	0.2240909838
113	0.2235695553
114	0.2227331232
115	0.2222317504
116	0.2214899051
117	0.2207290553
118	0.2200390953
119	0.2192084059
120	0.2186462427
121	0.2177840871
122	0.2169525939
123	0.2162772774
124	0.2158474098
125	0.2150962809
126	0.2143028578
127	0.2135790272
128	0.2128937203
129	0.21225788
130	0.2114773593
131	0.210880902
132	0.2100686823
133	0.2093383303
134	0.2086583318
135	0.2078927951
136	0.2072735628
137	0.2065363156
138	0.2057836492
139	0.2049555597
140	0.204206125
141	0.2035247574
142	0.2028521128
143	0.2020711678
144	0.2013290654
145	0.2006800432
146	0.20009753
147	0.1994526278
148	0.1990058651
149	0.198283461
150	0.1975543112
151	0.197246311
152	0.1966156809
153	0.1959908339
154	0.1955258719
155	0.1948810732
156	0.1943240528
157	0.1936753995
158	0.1933076611
159	0.1927747514
160	0.1921717202
161	0.1916815011
162	0.1911820927
163	0.1908701494
164	0.1905601711
165	0.1899131229
166	0.1894120912
167	0.1891576851
168	0.1885531893
169	0.187974773
170	0.187611632
171	0.1871173403
172	0.1868052503
173	0.186251955
174	0.1859041666
175	0.1854020192
176	0.1848180211
177	0.184294082
178	0.1838606388
179	0.1833590731
180	0.1828981529
181	0.1823531807
182	0.1818727289
183	0.1816687562
184	0.1810399582
185	0.1804025354
186	0.1799927928
187	0.1795342067
188	0.1790658717
189	0.1785846078
190	0.1781265963
191	0.177636087
192	0.1771902249
193	0.1767541824
194	0.1765157144
195	0.1760364339
196	0.1756258945
197	0.1752132636
198	0.1747689594
199	0.1743975923
200	0.1740411012
201	0.1738107437
202	0.1732812387
203	0.1729292262
204	0.1725235827
205	0.172300098
206	0.1718924223
207	0.171695539
208	0.1712921342
209	0.1708951199
210	0.1705708707
211	0.1701224107
212	0.1697411114
213	0.1692865202
214	0.1689927519
215	0.1685368785
216	0.1680780489
217	0.1675814087
218	0.1672442503
219	0.1667906847
220	0.1665526587
221	0.1661401927
222	0.1657083721
223	0.1654312206
224	0.1650936082
225	0.1646944096
226	0.1642293785
227	0.1640434045
228	0.1639370284
229	0.1635136624
230	0.1631229057
231	0.162644742
232	0.162515261
233	0.1621914126
234	0.1617560213
235	0.1613471337
236	0.1609924373
237	0.1606573497
238	0.1602426419
239	0.1599132517
240	0.1595531328
241	0.1592507826
242	0.1589052996
243	0.15876807
244	0.1583874779
245	0.1579973407
246	0.1576028127
247	0.1572976373
248	0.1569750569
249	0.1566685976
250	0.1562426056
251	0.1558326697
252	0.1554989607
253	0.1551009649
254	0.1549954652
255	0.1547951911
256	0.1545459207
257	0.1541773655
258	0.1538863785
259	0.1535189181
260	0.1530674194
261	0.1527163178
262	0.1523552195
263	0.1520275578
264	0.1517608853
265	0.1516540261
266	0.1512670771
267	0.151022174
268	0.1507108168
269	0.1503822727
270	0.1499872622
271	0.1496303984
272	0.1492935116
273	0.1490856115
274	0.1488478038
275	0.1487246747
276	0.1484801535
277	0.1480216653
278	0.1476418421
279	0.1473230154
280	0.1469295139
281	0.1464766543
282	0.1461432401
283	0.1459027542
284	0.1456666018
285	0.1453916234
286	0.1450414172
287	0.1448085827
288	0.1446104344
289	0.1443383653
290	0.1439479474
291	0.1437224709
292	0.1433618615
293	0.1430423154
294	0.1428134762
295	0.1426320381
296	0.1423573328
297	0.1421393364
298	0.141858503
299	0.1417414882
