iter	Passed	Remaining
0	0	55
1	1	241
2	2	286
3	5	394
4	7	446
5	9	482
6	10	422
7	10	373
8	10	351
9	12	348
10	13	345
11	13	319
12	14	319
13	15	318
14	16	312
15	17	313
16	18	312
17	18	296
18	20	305
19	21	305
20	21	291
21	23	291
22	23	280
23	24	281
24	25	282
25	26	282
26	27	274
27	28	273
28	29	275
29	30	273
30	31	274
31	31	265
32	31	258
33	33	259
34	34	260
35	34	254
36	35	252
37	36	253
38	38	254
39	38	251
40	40	256
41	42	260
42	46	275
43	47	275
44	49	281
45	52	288
46	57	308
47	62	329
48	65	336
49	71	355
50	72	355
51	74	353
52	75	350
53	76	347
54	78	347
55	80	349
56	82	350
57	84	350
58	86	351
59	87	349
60	88	347
61	89	343
62	89	337
63	90	332
64	91	329
65	92	328
66	94	327
67	96	328
68	96	323
69	98	323
70	99	322
71	101	322
72	103	322
73	104	318
74	106	319
75	108	318
76	109	318
77	111	317
78	113	316
79	113	312
80	115	312
81	117	311
82	117	306
83	119	306
84	120	305
85	123	306
86	124	305
87	126	305
88	126	300
89	127	298
90	128	294
91	129	292
92	130	291
93	131	288
94	132	285
95	133	283
96	140	293
97	141	292
98	142	289
99	143	287
100	145	287
101	147	286
102	149	285
103	150	282
104	152	282
105	154	282
106	155	280
107	156	279
108	159	278
109	159	275
110	160	273
111	162	272
112	164	271
113	164	268
114	166	267
115	166	263
116	167	262
117	168	260
118	170	259
119	172	258
120	172	255
121	174	254
122	175	252
123	176	250
124	176	247
125	177	245
126	179	244
127	180	242
128	182	241
129	183	239
130	184	238
131	185	236
132	187	235
133	188	233
134	189	231
135	191	230
136	192	229
137	194	227
138	195	226
139	197	225
140	198	224
141	200	222
142	203	223
143	204	221
144	205	219
145	207	218
146	208	217
147	209	215
148	211	214
149	213	213
150	215	212
151	215	209
152	217	209
153	220	208
154	221	207
155	223	206
156	224	204
157	226	203
158	226	200
159	226	198
160	228	197
161	229	195
162	230	193
163	230	191
164	230	188
165	231	187
166	232	185
167	232	182
168	233	181
169	234	179
170	234	177
171	235	175
172	236	173
173	237	171
174	237	169
175	238	168
176	239	166
177	240	165
178	241	163
179	242	161
180	243	160
181	245	158
182	246	157
183	246	155
184	247	153
185	248	152
186	248	150
187	249	148
188	250	147
189	251	145
190	252	143
191	253	142
192	254	140
193	254	139
194	254	137
195	255	135
196	256	134
197	257	132
198	258	131
199	259	129
200	260	128
201	260	126
202	261	124
203	261	123
204	262	121
205	262	119
206	263	118
207	263	116
208	264	115
209	265	113
210	265	112
211	266	110
212	267	109
213	267	107
214	268	106
215	269	104
216	270	103
217	271	102
218	272	100
219	273	99
220	274	97
221	274	96
222	275	95
223	276	93
224	277	92
225	278	91
226	279	89
227	279	88
228	279	86
229	280	85
230	281	83
231	282	82
232	282	81
233	283	79
234	284	78
235	285	77
236	286	76
237	286	74
238	287	73
239	288	72
240	289	70
241	289	69
242	290	68
243	290	66
244	291	65
245	292	64
246	292	62
247	293	61
248	294	60
249	294	58
250	295	57
251	296	56
252	297	55
253	298	54
254	298	52
255	298	51
256	299	50
257	300	48
258	301	47
259	301	46
260	302	45
261	303	43
262	304	42
263	304	41
264	305	40
265	305	39
266	306	37
267	307	36
268	308	35
269	308	34
270	309	33
271	310	31
272	310	30
273	311	29
274	311	28
275	311	27
276	312	25
277	313	24
278	314	23
279	314	22
280	315	21
281	316	20
282	316	19
283	317	17
284	318	16
285	319	15
286	319	14
287	320	13
288	321	12
289	321	11
290	322	9
291	323	8
292	324	7
293	324	6
294	325	5
295	325	4
296	326	3
297	327	2
298	327	1
299	328	0
8	404	1
299	405	0
01	1
299	402	0
9	864	0
7	486	3
298	487	1
299	488	0
