iter	Passed	Remaining
0	55	16726
1	56	8379
2	56	5593
3	56	4200
4	57	3364
5	57	2806
6	57	2413
7	57	2114
8	58	1881
9	58	1694
10	58	1541
11	58	1413
12	59	1305
13	59	1213
14	59	1133
15	59	1063
16	60	1001
17	60	945
18	60	896
19	60	852
20	61	812
21	61	775
22	61	742
23	61	711
24	62	683
25	62	657
26	62	633
27	62	610
28	63	589
29	63	570
30	63	552
31	63	535
32	64	519
33	64	504
34	64	489
35	64	476
36	65	463
37	65	451
38	65	439
39	65	428
40	66	417
41	66	407
42	66	398
43	66	389
44	67	380
45	67	372
46	67	364
47	68	357
48	68	349
49	68	342
50	68	335
51	68	329
52	69	322
53	69	316
54	69	310
55	69	304
56	70	298
57	70	293
58	70	288
59	70	283
60	71	278
61	71	273
62	71	269
63	71	264
64	71	260
65	72	256
66	72	251
67	72	247
68	72	244
69	73	240
70	73	236
71	73	233
72	73	229
73	74	226
74	74	222
75	74	219
76	74	216
77	75	213
78	75	210
79	75	207
80	75	204
81	75	201
82	76	199
83	76	196
84	76	193
85	76	191
86	77	188
87	77	186
88	77	183
89	77	181
90	77	179
91	78	176
92	78	174
93	78	172
94	78	170
95	79	168
96	79	166
97	79	164
98	79	162
99	80	160
100	80	158
101	80	156
102	80	154
103	81	152
104	81	151
105	81	149
106	81	147
107	81	145
108	82	144
109	82	142
110	82	140
111	82	139
112	83	137
113	83	136
114	83	134
115	83	133
116	84	131
117	84	130
118	84	128
119	84	127
120	85	125
121	85	124
122	85	123
123	85	121
124	86	120
125	86	119
126	86	117
127	86	116
128	86	115
129	87	114
130	87	112
131	87	111
132	87	110
133	88	109
134	88	107
135	88	106
136	88	105
137	89	104
138	89	103
139	89	102
140	89	101
141	90	100
142	90	99
143	90	98
144	90	96
145	90	95
146	91	94
147	91	93
148	91	92
149	91	91
150	92	90
151	92	89
152	92	88
153	92	88
154	93	87
155	93	86
156	93	85
157	93	84
158	94	83
159	94	82
160	94	81
161	94	80
162	94	79
163	95	78
164	95	78
165	95	77
166	95	76
167	96	75
168	96	74
169	96	73
170	96	72
171	96	72
172	97	71
173	97	70
174	97	69
175	97	68
176	98	68
177	98	67
178	98	66
179	98	65
180	98	65
181	99	64
182	99	63
183	99	62
184	99	62
185	100	61
186	100	60
187	100	59
188	100	59
189	100	58
190	101	57
191	101	57
192	101	56
193	101	55
194	102	54
195	102	54
196	102	53
197	102	52
198	102	52
199	103	51
200	103	50
201	103	50
202	103	49
203	104	49
204	104	48
205	104	47
206	104	47
207	105	46
208	105	45
209	105	45
210	106	44
211	106	44
212	106	43
213	106	42
214	106	42
215	107	41
216	107	41
217	107	40
218	107	39
219	108	39
220	108	38
221	108	38
222	108	37
223	109	37
224	109	36
225	109	35
226	109	35
227	109	34
228	110	34
229	110	33
230	110	33
231	110	32
232	111	31
233	111	31
234	111	30
235	111	30
236	112	29
237	112	29
238	112	28
239	112	28
240	112	27
241	113	27
242	113	26
243	113	26
244	113	25
245	114	25
246	114	24
247	114	24
248	114	23
249	115	23
250	115	22
251	115	22
252	115	21
253	115	20
254	116	20
255	116	20
256	116	19
257	116	19
258	117	18
259	117	18
260	117	17
261	117	17
262	117	16
263	118	16
264	118	15
265	118	15
266	118	14
267	119	14
268	119	13
269	119	13
270	119	12
271	119	12
272	120	11
273	120	11
274	120	10
275	120	10
276	121	10
277	121	9
278	121	9
279	121	8
280	122	8
281	122	7
282	122	7
283	122	6
284	123	6
285	123	6
286	123	5
287	123	5
288	124	4
289	124	4
290	124	3
291	124	3
292	124	2
293	125	2
294	125	2
295	125	1
296	125	1
297	126	0
298	126	0
299	126	0
